year,state,area,species,start.date,end.date,reg.days,season,bag.limit,min.size,max.size,bag.above.max
1991,TX,GoM,Spotted_Seatrout,05/15/91,11/20/91,189,1,10,15,,
1991,TX,GoM,Spotted_Seatrout,11/21/91,05/14/92,175,2,10,15,,
1992,TX,GoM,Spotted_Seatrout,05/15/92,11/20/92,189,1,10,15,,
1993,TX,GoM,Spotted_Seatrout,11/21/92,05/14/93,174,2,10,15,,
1993,TX,GoM,Spotted_Seatrout,05/15/93,11/20/93,189,1,10,15,,
1994,TX,GoM,Spotted_Seatrout,11/21/93,05/14/94,174,2,10,15,,
1994,TX,GoM,Spotted_Seatrout,05/15/94,11/20/94,189,1,10,15,,
1995,TX,GoM,Spotted_Seatrout,11/21/94,05/14/95,174,2,10,15,,
1995,TX,GoM,Spotted_Seatrout,05/15/95,11/20/95,189,1,10,15,,
1996,TX,GoM,Spotted_Seatrout,11/21/95,05/14/96,175,2,10,15,,
1996,TX,GoM,Spotted_Seatrout,05/15/96,11/20/96,189,1,10,15,,
1997,TX,GoM,Spotted_Seatrout,11/21/96,05/14/97,174,2,10,15,,
1997,TX,GoM,Spotted_Seatrout,05/15/97,11/20/97,189,1,10,15,,
1998,TX,GoM,Spotted_Seatrout,11/21/97,05/14/98,174,2,10,15,,
1998,TX,GoM,Spotted_Seatrout,05/15/98,11/20/98,189,1,10,15,,
1999,TX,GoM,Spotted_Seatrout,11/21/98,05/14/99,174,2,10,15,,
1999,TX,GoM,Spotted_Seatrout,05/15/99,11/20/99,189,1,10,15,,
2000,TX,GoM,Spotted_Seatrout,11/21/99,05/14/00,175,2,10,15,,
2000,TX,GoM,Spotted_Seatrout,05/15/00,11/20/00,189,1,10,15,,
2001,TX,GoM,Spotted_Seatrout,11/21/00,05/14/01,174,2,10,15,,
2001,TX,GoM,Spotted_Seatrout,05/15/01,11/20/01,189,1,10,15,,
2002,TX,GoM,Spotted_Seatrout,11/21/01,05/14/02,174,2,10,15,,
2002,TX,GoM,Spotted_Seatrout,05/15/02,11/20/02,189,1,10,15,,
2003,TX,GoM,Spotted_Seatrout,11/21/02,05/14/03,174,2,10,15,,
2003,TX,GoM,Spotted_Seatrout,05/15/03,11/20/03,189,1,10,15,,
2004,TX,GoM,Spotted_Seatrout,11/21/03,05/14/04,175,2,10,15,25,1
2004,TX,GoM,Spotted_Seatrout,05/15/04,11/20/04,189,1,10,15,25,1
2005,TX,GoM,Spotted_Seatrout,11/21/04,05/14/05,174,2,10,15,25,1
2005,TX,GoM,Spotted_Seatrout,05/15/05,11/20/05,189,1,10,15,25,1
2006,TX,GoM,Spotted_Seatrout,11/21/05,05/14/06,174,2,10,15,25,1
2006,TX,GoM,Spotted_Seatrout,05/15/06,11/20/06,189,1,10,15,25,1
2007,TX,GoM,Spotted_Seatrout,11/21/06,05/14/07,174,2,10,15,25,1
2007,TX,GoM,Spotted_Seatrout,05/15/07,11/20/07,189,1,8.936170213,15,25,1
2008,TX,GoM,Spotted_Seatrout,11/21/07,05/14/08,175,2,7.5,15,25,1
2008,TX,GoM,Spotted_Seatrout,05/15/08,11/20/08,189,1,7.5,15,25,1
2009,TX,GoM,Spotted_Seatrout,11/21/08,05/14/09,174,2,7.5,15,25,1
2009,TX,GoM,Spotted_Seatrout,05/15/09,11/20/09,189,1,7.5,15,25,1
2010,TX,GoM,Spotted_Seatrout,11/21/09,05/14/10,174,2,7.5,15,25,1
2010,TX,GoM,Spotted_Seatrout,05/15/10,11/20/10,189,1,7.5,15,25,1
2011,TX,GoM,Spotted_Seatrout,11/21/10,05/14/11,174,2,7.5,15,25,1
2011,TX,GoM,Spotted_Seatrout,05/15/11,11/20/11,189,1,7.5,15,25,1
2012,TX,GoM,Spotted_Seatrout,11/21/11,05/14/12,175,2,7.5,15,25,1
2012,TX,GoM,Spotted_Seatrout,05/15/12,11/20/12,189,1,7.5,15,25,1
2013,TX,GoM,Spotted_Seatrout,11/21/12,05/14/13,174,2,7.5,15,25,1
2013,TX,GoM,Spotted_Seatrout,05/15/13,11/20/13,189,1,7.5,15,25,1
2014,TX,GoM,Spotted_Seatrout,11/21/13,05/14/14,174,2,7.5,15,25,1
2014,TX,GoM,Spotted_Seatrout,05/15/14,11/20/14,189,1,7.5,15,25,1
2015,TX,GoM,Spotted_Seatrout,11/21/14,05/14/15,174,2,7.5,15,25,1
2015,TX,GoM,Spotted_Seatrout,05/15/15,11/20/15,189,1,7.5,15,25,1
2016,TX,GoM,Spotted_Seatrout,11/21/15,05/14/16,175,2,7.5,15,25,1
2016,TX,GoM,Spotted_Seatrout,05/15/16,11/20/16,189,1,7.5,15,25,1
2017,TX,GoM,Spotted_Seatrout,11/21/16,05/14/17,174,2,7.5,15,25,1
2017,TX,GoM,Spotted_Seatrout,05/15/17,11/20/17,189,1,7.5,15,25,1
2018,TX,GoM,Spotted_Seatrout,11/21/17,05/14/18,174,2,7.5,15,25,1
2018,TX,GoM,Spotted_Seatrout,05/15/18,11/20/18,189,1,7.5,15,25,1
